index,ego_x,ego_y,ego_angle,ego_acceleration,ego_vel,num_tracked_cars,car_0_x,car_0_y,car_0_angle,car_0_acceleration,car_0_vel,car_0_in_fov,car_0_d_y
0,0.0,27.0,270.0,0.0,0.0,1,31.0,35.0,270.0,0.0,0.0,1.0,-8.0
1,0.0,27.00456533,270.0,0.77,0.05929,1,31.0,35.00456533,270.0,0.77,0.05929,1.0,-8.0
2,0.0,27.01441868,270.0,1.42,0.15159,1,31.0,35.01441868,270.0,1.42,0.15159,1.0,-8.0
3,0.0,27.032558199999997,270.0,2.06,0.28343,1,31.0,35.0325582,270.0,2.06,0.28343,1.0,-8.0
4,0.0,27.062430899999995,270.0,2.71,0.45958,1,31.0,35.062430899999995,270.0,2.71,0.45958,1.0,-8.0
5,0.0,27.111310499999995,270.0,3.41,0.69828,1,31.0,35.111310499999995,270.0,3.41,0.69828,1.0,-8.0
6,0.0,27.175125899999994,270.0,4.07,0.9669000000000001,1,31.0,35.1751259,270.0,4.07,0.9669000000000001,1.0,-8.000000000000004
7,0.0,27.259545179999993,270.0,4.73,1.2790800000000002,1,31.0,35.259545179999996,270.0,4.73,1.2790800000000002,1.0,-8.000000000000004
8,0.0,27.365415879999993,270.0,5.380000000000001,1.6287800000000003,1,31.0,35.36541587999999,270.0,5.380000000000001,1.6287800000000003,1.0,-8.0
9,0.0,27.496763329999993,270.0,6.030000000000001,2.0207300000000004,1,31.0,35.49676332999999,270.0,6.030000000000001,2.0207300000000004,1.0,-8.0
10,0.0,27.653410369999992,270.0,6.670000000000001,2.4476100000000005,1,31.0,35.653410369999996,270.0,6.670000000000001,2.4476100000000005,1.0,-8.000000000000004
11,0.0,27.867948049999992,270.0,7.390000000000001,2.9796900000000006,1,31.0,35.867948049999995,270.0,7.390000000000001,2.9796900000000006,1.0,-8.000000000000004
12,0.0,28.19420364999999,270.0,8.27,3.7074500000000006,1,31.0,36.19420365,270.0,8.27,3.7074500000000006,1.0,-8.000000000000007
13,0.0,28.49767814999999,270.0,8.969999999999999,4.335350000000001,1,31.0,36.49767815,270.0,8.969999999999999,4.335350000000001,1.0,-8.000000000000007
14,0.0,28.820120399999993,270.0,9.62,4.960650000000001,1,31.0,36.8201204,270.0,9.62,4.960650000000001,1.0,-8.000000000000007
15,0.0,29.185953399999992,270.0,10.27,5.628200000000001,1,31.0,37.1859534,270.0,10.27,5.628200000000001,1.0,-8.00000000000001
16,0.0,29.605025679999994,270.0,10.93,6.349580000000001,1,31.0,37.605025680000004,270.0,10.93,6.349580000000001,1.0,-8.00000000000001
17,0.0,30.066673879999993,270.0,11.58,7.102280000000001,1,31.0,38.06667388,270.0,11.58,7.102280000000001,1.0,-8.00000000000001
18,0.0,30.57127291999999,270.0,12.22,7.884360000000001,1,31.0,38.571272920000006,270.0,12.22,7.884360000000001,1.0,-8.000000000000014
19,0.0,31.14774595999999,270.0,12.88,8.734440000000001,1,31.0,39.14774596000001,270.0,12.88,8.734440000000001,1.0,-8.000000000000018
20,0.0,31.78319923999999,270.0,13.540000000000001,9.62808,1,31.0,39.78319924000001,270.0,13.540000000000001,9.62808,1.0,-8.000000000000018
21,0.0,32.48050771999999,270.0,14.200000000000001,10.565280000000001,1,31.0,40.480507720000006,270.0,14.200000000000001,10.565280000000001,1.0,-8.000000000000014
22,0.0,33.214848839999995,270.0,14.200000000000001,11.47408,1,31.0,41.21484884000001,270.0,14.200000000000001,11.47408,1.0,-8.000000000000014
23,0.0,34.03413919298564,270.0,14.233487829578667,12.413490196752193,1,31.0,42.034139192985656,270.0,14.233487829578667,12.413490196752193,1.0,-8.000000000000014
24,0.0,34.901430665475004,270.0,14.299315905437018,13.3429457306056,1,31.0,42.90143066547502,270.0,14.299315905437018,13.3429457306056,1.0,-8.000000000000014
25,0.0,35.8295525326487,270.0,14.397726552504432,14.278797956518387,1,31.0,43.82955253264871,270.0,14.397726552504432,14.278797956518387,1.0,-8.000000000000014
