index,ego_x,ego_y,ego_angle,ego_acceleration,ego_vel,num_tracked_cars,car_0_x,car_0_y,car_0_angle,car_0_acceleration,car_0_vel,car_0_in_fov,car_0_d_y
0,0.0,27.0,270.0,0.0,0.0,1,34.0,35.0,270.0,0.0,0.0,1.0,-8.0
1,0.0,27.00512,270.0,0.8,0.064,1,34.0,35.00512,270.0,0.8,0.064,1.0,-7.9999999999999964
2,0.0,27.01695,270.0,1.5,0.169,1,34.0,35.01695,270.0,1.5,0.169,1.0,-8.0
3,0.0,27.03956,270.0,2.2,0.32300000000000006,1,34.0,35.03956,270.0,2.2,0.32300000000000006,1.0,-8.0
4,0.0,27.077162310000002,270.0,2.91,0.52961,1,34.0,35.07716231,270.0,2.91,0.52961,1.0,-7.9999999999999964
5,0.0,27.130845,270.0,3.6,0.7780100000000001,1,34.0,35.130845,270.0,3.6,0.7780100000000001,1.0,-8.0
6,0.0,27.20495238,270.0,4.29,1.0740200000000002,1,34.0,35.20495238,270.0,4.29,1.0740200000000002,1.0,-8.0
7,0.0,27.3064128,270.0,5.0,1.4290200000000002,1,34.0,35.306412800000004,270.0,5.0,1.4290200000000002,1.0,-8.000000000000004
8,0.0,27.44126643,270.0,5.73,1.8473100000000002,1,34.0,35.441266430000006,270.0,5.73,1.8473100000000002,1.0,-8.000000000000007
9,0.0,27.60488948,270.0,6.44,2.3045500000000003,1,34.0,35.604889480000004,270.0,6.44,2.3045500000000003,1.0,-8.000000000000004
10,0.0,27.794521760000002,270.0,7.12,2.7887100000000005,1,34.0,35.79452176,270.0,7.12,2.7887100000000005,1.0,-8.0
11,0.0,28.016334640000004,270.0,7.79,3.3106400000000002,1,34.0,36.016334640000004,270.0,7.79,3.3106400000000002,1.0,-8.0
12,0.0,28.280623440000003,270.0,8.47,3.8866000000000005,1,34.0,36.28062344000001,270.0,8.47,3.8866000000000005,1.0,-8.000000000000004
13,0.0,28.5820551,270.0,9.14,4.49898,1,34.0,36.582055100000005,270.0,9.14,4.49898,1.0,-8.000000000000004
14,0.0,28.93339342,270.0,9.82,5.166740000000001,1,34.0,36.93339342000001,270.0,9.82,5.166740000000001,1.0,-8.000000000000007
15,0.0,29.333283740000002,270.0,10.5,5.880740000000001,1,34.0,37.333283740000006,270.0,10.5,5.880740000000001,1.0,-8.000000000000004
16,0.0,29.792330390000004,270.0,11.19,6.652850000000001,1,34.0,37.792330390000004,270.0,11.19,6.652850000000001,1.0,-8.0
17,0.0,30.299611070000005,270.0,11.87,7.4600100000000005,1,34.0,38.299611070000005,270.0,11.87,7.4600100000000005,1.0,-8.0
18,0.0,30.855723800000003,270.0,12.54,8.30019,1,34.0,38.85572380000001,270.0,12.54,8.30019,1.0,-8.000000000000004
19,0.0,31.481266000000005,270.0,13.219999999999999,9.199150000000001,1,34.0,39.481266000000005,270.0,13.219999999999999,9.199150000000001,1.0,-8.0
20,0.0,32.1710818,270.0,13.899999999999999,10.144350000000001,1,34.0,40.1710818,270.0,13.899999999999999,10.144350000000001,1.0,-8.0
21,0.0,32.9251712,270.0,13.899999999999999,11.089550000000001,1,34.0,40.9251712,270.0,13.899999999999999,11.089550000000001,1.0,-8.0
22,0.0,33.743693740079244,270.0,13.93450261229317,12.037096177635936,1,34.0,41.743693740079244,270.0,13.93450261229317,12.037096177635936,1.0,-8.0
23,0.0,34.61303576081635,270.0,14.0023561674087,12.975254040852318,1,34.0,42.61303576081635,270.0,14.0023561674087,12.975254040852318,1.0,-8.0
24,0.0,35.545689716565015,270.0,14.103794834385878,13.920208294756172,1,34.0,43.545689716565015,270.0,14.103794834385878,13.920208294756172,1.0,-8.0
25,0.0,36.57399229110267,270.0,14.242428523309835,14.90293586286455,1,34.0,44.57399229110267,270.0,14.242428523309835,14.90293586286455,1.0,-8.0
26,0.0,37.65403382567243,270.0,14.412174717769812,15.882963743672898,1,34.0,45.65403382567243,270.0,14.412174717769812,15.882963743672898,1.0,-8.0
