index,ego_x,ego_y,ego_angle,ego_acceleration,ego_vel,num_tracked_cars,car_0_x,car_0_y,car_0_angle,car_0_acceleration,car_0_vel,car_0_in_fov,car_0_d_y
0,0.0,27.0,270.0,0.0,0.0,1,31.0,35.0,270.0,0.0,0.0,1.0,-8.0
1,0.0,27.00405224,270.0,0.74,0.054759999999999996,1,31.0,35.00405224,270.0,0.74,0.054759999999999996,1.0,-8.0
2,0.0,27.01320936,270.0,1.38,0.14307999999999998,1,31.0,35.01320936,270.0,1.38,0.14307999999999998,1.0,-7.9999999999999964
3,0.0,27.031086310000003,270.0,2.03,0.27503,1,31.0,35.03108631,270.0,2.03,0.27503,1.0,-7.9999999999999964
4,0.0,27.06028626,270.0,2.6799999999999997,0.44923,1,31.0,35.06028626,270.0,2.6799999999999997,0.44923,1.0,-7.9999999999999964
5,0.0,27.1026357,270.0,3.32,0.66171,1,31.0,35.1026357,270.0,3.32,0.66171,1.0,-8.0
6,0.0,27.16000098,270.0,3.9499999999999997,0.91056,1,31.0,35.16000098,270.0,3.9499999999999997,0.91056,1.0,-8.0
7,0.0,27.23707746,270.0,4.59,1.20432,1,31.0,35.23707746,270.0,4.59,1.20432,1.0,-8.000000000000004
8,0.0,27.333667799999997,270.0,5.22,1.53318,1,31.0,35.3336678,270.0,5.22,1.53318,1.0,-8.000000000000004
9,0.0,27.453476789999996,270.0,5.85,1.90173,1,31.0,35.45347679,270.0,5.85,1.90173,1.0,-8.000000000000007
10,0.0,27.599004899999997,270.0,6.4799999999999995,2.30997,1,31.0,35.599004900000004,270.0,6.4799999999999995,2.30997,1.0,-8.000000000000007
11,0.0,27.776006499999998,270.0,7.119999999999999,2.76565,1,31.0,35.7760065,270.0,7.119999999999999,2.76565,1.0,-8.000000000000004
12,0.0,27.9810022,270.0,7.749999999999999,3.2539,1,31.0,35.9810022,270.0,7.749999999999999,3.2539,1.0,-8.0
13,0.0,28.22361724,270.0,8.389999999999999,3.7908599999999995,1,31.0,36.223617239999996,270.0,8.389999999999999,3.7908599999999995,1.0,-7.9999999999999964
14,0.0,28.4982418,270.0,9.02,4.359119999999999,1,31.0,36.498241799999995,270.0,9.02,4.359119999999999,1.0,-7.9999999999999964
